GMTDateTime,X,Y
12/9/15 23:19,45.03144081,-93.01837351
12/9/15 23:33,45.03112144,-93.01645211
12/9/15 23:33,45.03115552,-93.0164514
12/9/15 23:33,45.03123298,-93.01645204
12/9/15 23:33,45.03136697,-93.0164566
12/9/15 23:33,45.03136697,-93.0164566
12/9/15 23:34,45.03157581,-93.01763303
12/9/15 23:35,45.02855647,-93.01808402
12/9/15 23:36,45.02791838,-93.01810881
12/9/15 23:36,45.02614999,-93.01811945
12/9/15 23:37,45.0208383,-93.01914456
12/9/15 23:37,45.01946864,-93.01949952
12/9/15 23:37,45.0170292,-93.01990088
12/9/15 23:37,45.01601357,-93.01994662
12/9/15 23:37,45.01599273,-93.0199457
12/9/15 23:38,45.01560082,-93.01996604
12/9/15 23:38,45.0154239,-93.01997687
12/9/15 23:38,45.0154239,-93.01997687
12/9/15 23:38,45.01532197,-93.01998297
12/9/15 23:38,45.01522269,-93.01998887
12/9/15 23:38,45.01093134,-93.02239175
12/9/15 23:38,45.01093134,-93.02239175
12/9/15 23:38,45.01081548,-93.02248999
12/9/15 23:39,45.00638152,-93.02419977
12/9/15 23:43,45.00433811,-93.02113022
12/9/15 23:43,45.00431084,-93.02110894
12/10/15 00:30,45.00645538,-93.0227779
12/10/15 00:30,45.006464,-93.02288206
12/10/15 00:32,45.00647231,-93.03407229
12/10/15 00:32,45.00647578,-93.03514565
12/10/15 00:32,45.00721492,-93.03551239
12/10/15 01:04,45.01119262,-93.05260971
12/10/15 01:05,45.00828745,-93.05673366
12/10/15 01:07,45.01442196,-93.05373537
12/10/15 01:10,45.01261491,-93.06157866
12/10/15 01:17,45.02816298,-93.04642966
12/10/15 01:20,45.03573746,-93.01859195
12/10/15 01:21,45.03573058,-93.01814236
12/10/15 01:23,45.03473832,-93.00519161
12/10/15 01:23,45.03230632,-93.00515139
12/10/15 01:24,45.02865348,-93.00508741
12/10/15 01:24,45.02812858,-93.00541424
12/10/15 01:24,45.02812309,-93.00737596
12/10/15 01:24,45.02812383,-93.00816652
12/10/15 01:25,45.02812201,-93.01157096
12/10/15 01:25,45.02811623,-93.01288459
12/10/15 01:26,45.02810268,-93.01452577
12/10/15 01:27,45.02813404,-93.01813275
12/10/15 01:27,45.02813404,-93.01813275
12/10/15 01:29,45.02667977,-93.03566325
12/10/15 01:29,45.02639182,-93.03565276
12/10/15 01:30,45.02424518,-93.03560276
12/10/15 01:37,44.99986659,-93.06476344
12/10/15 01:44,44.99916786,-93.07506061
12/10/15 01:44,44.99915929,-93.07615945
12/10/15 01:44,44.99915925,-93.07624636
12/10/15 01:44,44.99915958,-93.07641411
12/10/15 01:45,44.99912169,-93.08164774
12/10/15 01:45,44.99716113,-93.08642361
12/10/15 01:47,44.99187989,-93.09082998
12/10/15 01:47,44.99188998,-93.09144542
12/10/15 01:47,44.99189237,-93.09165479
12/10/15 01:47,44.99189328,-93.09186796
12/10/15 01:47,44.99191427,-93.09559747
12/10/15 01:47,44.99191572,-93.09577535
12/10/15 01:48,44.99199018,-93.10539629
12/10/15 01:48,44.99199203,-93.1055042
12/10/15 01:50,45.00614187,-93.105794
12/10/15 01:52,45.01061041,-93.0881954
12/10/15 01:56,45.02766719,-93.04658404
12/10/15 02:00,45.02641923,-93.02540498
12/10/15 02:03,45.02641846,-93.0254071
12/10/15 02:04,45.02642036,-93.02540795
12/10/15 02:04,45.02642259,-93.02540839
12/10/15 02:07,45.02642381,-93.02540849
12/10/15 02:09,45.02642169,-93.02540645
12/10/15 02:11,45.02642277,-93.02540405
12/10/15 02:14,45.02642237,-93.02540605
12/10/15 02:14,45.02642061,-93.02540548
12/10/15 02:14,45.02642062,-93.02540551
12/10/15 02:18,45.02641623,-93.02539615
12/10/15 02:19,45.02641837,-93.0253963
12/10/15 02:20,45.02641762,-93.02539278
12/10/15 02:22,45.02641611,-93.02539178
12/10/15 02:25,45.02641288,-93.02538957
12/10/15 02:27,45.02641838,-93.02538883
12/10/15 02:31,45.02642189,-93.02538816
12/10/15 17:54,45.01017646,-93.02318577
12/10/15 02:32,45.02642026,-93.02538813
12/10/15 02:34,45.03277848,-93.02602082
